iter	Passed	Remaining
341	5310	10217
342	5325	10200
343	5338	10180
344	5352	10162
345	5367	10145
346	5384	10133
347	5397	10113
348	5413	10097
349	5426	10077
350	5441	10061
351	5456	10045
352	5469	10024
353	5483	10007
354	5501	9995
355	5516	9979
356	5530	9960
357	5546	9946
358	5563	9933
359	5578	9916
360	5594	9902
361	5609	9885
362	5623	9868
363	5639	9854
364	5655	9838
365	5667	9818
366	5682	9801
367	5697	9785
368	5711	9766
369	5725	9748
370	5738	9728
371	5753	9713
372	5768	9696
373	5782	9678
374	5797	9661
375	5810	9643
376	5825	9626
377	5841	9612
378	5859	9600
379	5875	9586
380	5888	9567
381	5918	9575
382	5931	9556
383	5943	9535
384	5956	9515
385	5970	9496
386	5985	9481
387	5999	9462
388	6014	9446
389	6027	9427
390	6042	9412
391	6060	9399
392	6074	9382
393	6086	9362
394	6100	9343
395	6116	9329
396	6132	9314
397	6147	9297
398	6162	9282
399	6177	9266
400	6193	9252
401	6208	9235
402	6222	9217
403	6239	9204
404	6257	9193
405	6272	9176
406	6287	9161
407	6304	9147
408	6321	9134
409	6338	9121
410	6355	9107
411	6371	9093
412	6385	9075
413	6401	9061
414	6418	9047
415	6433	9031
416	6449	9016
417	6463	8999
418	6478	8983
419	6494	8968
420	6512	8956
421	6526	8939
422	6542	8924
423	6558	8909
424	6575	8896
425	6593	8884
426	6607	8866
427	6621	8849
428	6636	8832
429	6652	8818
430	6668	8803
431	6685	8789
432	6698	8770
433	6709	8750
434	6725	8735
435	6739	8718
436	6752	8698
437	6765	8681
438	6779	8663
439	6794	8647
440	6807	8629
441	6821	8611
442	6835	8595
443	6849	8576
444	6862	8559
445	6876	8541
446	6890	8524
447	6903	8505
448	6916	8487
449	6930	8471
450	6945	8454
451	6959	8438
452	6973	8421
453	6987	8403
454	6999	8384
455	7014	8367
456	7026	8348
457	7041	8332
458	7055	8315
459	7069	8299
460	7084	8283
461	7097	8264
462	7112	8249
463	7129	8236
464	7145	8221
465	7160	8205
466	7173	8187
467	7187	8169
468	7202	8154
469	7218	8140
470	7233	8124
471	7249	8109
472	7264	8093
473	7281	8080
474	7298	8066
475	7313	8051
476	7329	8036
477	7343	8019
478	7358	8003
479	7374	7989
480	7387	7971
481	7403	7956
482	7418	7940
483	7432	7924
484	7448	7908
485	7461	7891
486	7475	7874
487	7494	7862
488	7509	7847
489	7524	7831
490	7539	7815
491	7556	7802
492	7572	7787
493	7586	7770
494	7604	7758
495	7622	7744
496	7635	7727
497	7655	7716
498	7669	7700
499	7684	7684
500	7697	7666
501	7710	7649
502	7725	7632
503	7738	7616
504	7754	7600
505	7768	7584
506	7782	7567
507	7798	7552
508	7811	7535
509	7826	7519
510	7839	7501
511	7855	7487
512	7872	7473
513	7888	7458
514	7903	7443
515	7920	7428
516	7937	7415
517	7952	7400
518	7966	7383
519	7979	7365
520	7994	7349
521	8008	7333
522	8024	7318
523	8039	7302
524	8053	7286
525	8067	7269
526	8081	7253
527	8097	7238
528	8115	7225
529	8133	7212
530	8161	7208
531	8177	7193
532	8194	7179
533	8207	7162
534	8220	7145
535	8234	7128
536	8249	7113
537	8264	7097
538	8281	7083
539	8294	7065
540	8310	7050
541	8324	7034
542	8341	7020
543	8358	7006
544	8373	6990
545	8388	6974
546	8405	6961
547	8420	6945
548	8436	6930
549	8452	6915
550	8468	6901
551	8483	6885
552	8497	6868
553	8511	6852
554	8526	6836
555	8541	6820
556	8557	6805
557	8573	6791
558	8589	6776
559	8603	6759
560	8616	6743
561	8631	6727
562	8646	6711
563	8659	6694
564	8674	6678
565	8689	6663
566	8704	6647
567	8721	6632
568	8735	6616
569	8748	6599
570	8762	6583
571	8775	6566
572	8789	6549
573	8809	6538
574	8824	6522
575	8838	6506
576	8866	6499
577	8879	6482
578	8890	6464
579	8902	6446
580	8917	6431
581	8931	6414
582	8944	6397
583	8959	6382
584	8975	6366
585	8990	6351
586	9004	6335
587	9019	6320
588	9035	6304
589	9048	6287
590	9061	6271
591	9076	6255
592	9090	6239
593	9106	6224
594	9122	6209
595	9137	6193
596	9153	6178
597	9168	6163
598	9181	6146
599	9195	6130
600	9212	6116
601	9231	6103
602	9245	6086
603	9261	6071
604	9276	6056
605	9291	6041
606	9308	6026
607	9322	6010
608	9337	5994
609	9351	5978
610	9365	5962
611	9379	5946
612	9396	5932
613	9412	5917
614	9428	5902
615	9442	5886
616	9459	5871
617	9476	5857
618	9489	5840
619	9502	5824
620	9517	5808
621	9533	5793
622	9549	5778
623	9565	5763
624	9580	5748
625	9595	5732
626	9611	5717
627	9627	5702
628	9643	5688
629	9657	5671
630	9672	5656
631	9684	5639
632	9699	5623
633	9713	5607
634	9728	5591
635	9740	5574
636	9754	5558
637	9770	5543
638	9784	5527
639	9798	5511
640	9812	5495
641	9826	5479
642	9838	5462
643	9853	5446
644	9867	5431
645	9885	5417
646	9903	5403
647	9916	5386
648	9929	5370
649	9942	5353
650	9956	5337
651	9973	5323
652	9990	5308
653	10005	5293
654	10020	5277
655	10034	5261
656	10048	5246
657	10065	5231
658	10079	5215
659	10096	5201
660	10111	5185
661	10128	5171
662	10144	5156
663	10158	5140
664	10174	5125
665	10188	5109
666	10204	5094
667	10218	5078
668	10233	5063
669	10249	5048
670	10265	5033
671	10281	5018
672	10296	5002
673	10311	4987
674	10324	4971
675	10340	4955
676	10354	4940
677	10368	4924
678	10383	4908
679	10398	4893
680	10413	4878
681	10430	4863
682	10447	4848
683	10464	4834
684	10481	4819
685	10496	4804
686	10510	4788
687	10525	4773
688	10540	4757
689	10557	4743
690	10571	4727
691	10586	4712
692	10600	4696
693	10616	4680
694	10631	4665
695	10645	4649
696	10658	4633
697	10673	4618
698	10690	4603
699	10707	4588
700	10722	4573
701	10739	4558
702	10752	4542
703	10766	4526
704	10779	4510
705	10793	4494
706	10809	4479
707	10823	4464
708	10840	4449
709	10853	4433
710	10866	4416
711	10880	4401
712	10895	4385
713	10909	4369
714	10924	4354
715	10939	4339
716	10954	4323
717	10968	4307
718	10983	4292
719	10997	4276
720	11012	4261
721	11028	4246
722	11042	4230
723	11059	4215
724	11072	4199
725	11085	4183
726	11100	4168
727	11116	4153
728	11131	4138
729	11147	4123
730	11164	4108
731	11180	4093
732	11196	4078
733	11213	4063
734	11231	4049
735	11245	4033
736	11261	4018
737	11276	4003
738	11290	3987
739	11304	3971
740	11318	3956
741	11333	3940
742	11349	3925
743	11367	3911
744	11382	3895
745	11399	3881
746	11414	3866
747	11431	3851
748	11447	3836
749	11465	3821
750	11480	3806
751	11495	3791
752	11512	3776
753	11530	3761
754	11544	3746
755	11560	3731
756	11575	3715
757	11590	3700
758	11603	3684
759	11618	3669
760	11633	3653
761	11648	3638
762	11663	3622
763	11679	3607
764	11694	3592
765	11710	3577
766	11722	3560
767	11738	3546
768	11752	3530
769	11768	3515
770	11782	3499
771	11796	3484
772	11812	3468
773	11828	3453
774	11842	3438
775	11857	3422
776	11873	3407
777	11886	3391
778	11903	3376
779	11915	3360
780	11929	3345
781	11942	3329
782	11958	3314
783	11971	3298
784	12022	3292
785	12036	3277
786	12056	3263
787	12071	3247
788	12087	3232
789	12101	3216
790	12117	3201
791	12132	3186
792	12144	3170
793	12157	3154
794	12171	3138
795	12186	3123
796	12199	3107
797	12212	3091
798	12226	3075
799	12242	3060
800	12257	3045
801	12271	3029
802	12284	3013
803	12298	2998
804	12313	2982
805	12326	2966
806	12340	2951
807	12353	2935
808	12367	2919
809	12381	2904
810	12393	2888
811	12408	2872
812	12422	2857
813	12437	2842
814	12453	2826
815	12471	2812
816	12483	2796
817	12497	2780
818	12512	2765
819	12527	2750
820	12542	2734
821	12556	2718
822	12573	2704
823	12593	2689
824	12608	2674
825	12624	2659
826	12640	2644
827	12654	2628
828	12667	2613
829	12683	2597
830	12697	2582
831	12712	2566
832	12727	2551
833	12742	2536
834	12756	2520
835	12768	2504
836	12780	2488
837	12792	2473
838	12806	2457
839	12821	2442
840	12837	2426
841	12853	2411
842	12867	2396
843	12880	2380
844	12895	2365
845	12908	2349
846	12924	2334
847	12939	2319
848	12954	2303
849	12968	2288
850	12984	2273
851	12998	2257
852	13014	2242
853	13028	2227
854	13042	2211
855	13056	2196
856	13085	2183
857	13097	2167
858	13110	2151
859	13125	2136
860	13139	2121
861	13152	2105
862	13167	2090
863	13181	2074
864	13198	2059
865	13213	2044
866	13227	2029
867	13239	2013
868	13253	1997
869	13266	1982
870	13281	1967
871	13295	1951
872	13309	1936
873	13322	1920
874	13337	1905
875	13351	1889
876	13367	1874
877	13379	1859
878	13393	1843
879	13408	1828
880	13424	1813
881	13439	1797
882	13454	1782
883	13468	1767
884	13483	1752
885	13500	1737
886	13515	1721
887	13527	1706
888	13542	1690
889	13556	1675
890	13572	1660
891	13586	1644
892	13601	1629
893	13614	1614
894	13630	1599
895	13642	1583
896	13656	1568
897	13673	1553
898	13685	1537
899	13699	1522
900	13713	1506
901	13728	1491
902	13744	1476
903	13760	1461
904	13774	1445
905	13788	1430
906	13804	1415
907	13818	1400
908	13832	1384
909	13848	1369
910	13863	1354
911	13880	1339
912	13894	1323
913	13910	1308
914	13925	1293
915	13940	1278
916	13956	1263
917	13971	1247
918	13987	1232
919	14003	1217
920	14019	1202
921	14034	1187
922	14050	1172
923	14063	1156
924	14078	1141
925	14093	1126
926	14106	1110
927	14119	1095
928	14133	1080
929	14149	1065
930	14164	1049
931	14178	1034
932	14192	1019
933	14209	1004
934	14222	988
935	14236	973
936	14250	958
937	14266	943
938	14281	927
939	14296	912
940	14308	897
941	14322	881
942	14337	866
943	14353	851
944	14367	836
945	14381	820
946	14394	805
947	14410	790
948	14423	775
949	14438	759
950	14454	744
951	14471	729
952	14485	714
953	14500	699
954	14516	684
955	14530	668
956	14546	653
957	14560	638
958	14573	623
959	14587	607
960	14599	592
961	14613	577
962	14627	561
963	14641	546
964	14656	531
965	14670	516
966	14685	501
967	14700	485
968	14716	470
969	14729	455
970	14743	440
971	14756	425
972	14773	409
973	14788	394
974	14801	379
975	14817	364
976	14832	349
977	14849	334
978	14865	318
979	14877	303
980	14891	288
981	14907	273
982	14923	258
983	14939	242
984	14953	227
985	14969	212
986	14985	197
987	14998	182
988	15012	166
989	15027	151
990	15044	136
991	15061	121
992	15075	106
993	15090	91
994	15104	75
995	15120	60
996	15133	45
997	15148	30
998	15162	15
999	15177	0
